Orchestration Policy,Orchestration Critera,Edge Devices Count,Tasks Execution Delay (s),Average Execution Delay (s),Tasks Waiting Time (s),Average Wainting Time (s),Generated Tasks,Tasks Successfully Executed,Task Not Executed (No resources available* as a result: long waiting time so the simulation eneded without the execution), Tasks Failed(Delay),Tasks Failed(Device dead),Tasks Failed(Mobility),Tasks not generated because devices were dead,Total tasks Executed(Cloud),Tasks Successfully Executed(Cloud),Total Tasks Executed(Fog),Tasks Successfully Executed(Fog),Total Tasks Executed(Edge),Tasks Successfully Executed(Edge),Network Usage (s),Wan Usage (s),Lan Usage (s),Average Bandwidth per Task (Mbps),VM Migration attempts,Average VM CPU usage (%),Average VM CPU Usage(Cloud) (%),Average VM CPU Usage(Fog) (%),Average VM CPU Usage(Edge) (%),Energy Consumption (Wh),Average Energy Consumption (Wh/Data center),Cloud Energy Consumption (Wh),Average Cloud Energy Consumption (Wh/Data center),Fog Energy Consumption (Wh),Average Fog Energy Consumption (Wh/Data center),Edge Energy Consumption (Wh),Average Edge Energy Consumption (Wh/Device),Dead Devices Count,Average remaining power (Wh),Average remaining power (%), First Edge Device death Time (s),List of remaining power (%) (only devices with batteries/ 0= dead),List of devices death time(s)
ALL,STATE_OF_THE_ART,100,24017.9805,2.0015,4585.0405,0.3821,12000,11957,0,5,0,38,0,592,592,8152,8147,3256,3218,5770.826666666123,1204.6666666666601,5770.826666666123,283.82604332010186,0,6.5416,1.4604,8.8911,5.7579,91.9679,0.8437,2.0725,0.0001,52.005,0.0003,37.8904,0.0001,0,16.8988,96.8038,-1.0,[93.84565079365122- 97.97250793650784- 96.03942857142867- 96.86063492063477- 92.8282539682542- 97.47612698412684- 97.45961904761892- 98.89149206349204- 96.65530158730148- 97.49009523809511- 98.44819047619038- 93.72857142857193- 95.37034920634943- 97.62355555555544- 93.99752380952434- 98.43028571428557- 94.14711111111153- 94.3090158730163- 97.33034920634908- 97.28425396825382- 98.19930158730148- 97.88850793650782- 97.66355555555542- 98.50495238095228- 97.15219047619036- 96.9316190476189- 95.32895238095261- 98.9685714285714- 94.8071746031749- 94.80857142857177- 98.2032499999999- 98.4114499999999- 95.79595000000022- 97.51954999999988- 98.17709999999992- 95.55925000000033- 97.77514999999988- 97.3378499999999- 97.60504999999989- 98.31994999999992- 98.53964999999988- 98.3750999999999- 98.48679999999992- 95.68850000000026- 95.5249500000003- 98.51264999999991- 95.32945000000035- 97.42204999999993- 95.40435000000033- 95.76190000000034],[]
ALL,STATE_OF_THE_ART,200,64871.207,2.703,10022.6299,0.4176,24000,23861,0,17,0,122,0,920,920,12834,12802,10246,10139,14199.129333333805,2256.621333333336,14199.129333333805,265.79264087302585,0,10.5951,2.4439,15.1873,9.7784,196.8496,0.9419,3.2359,0.0001,87.2538,0.0005,106.3599,0.0001,0,16.7219,95.749,-1.0,[93.63333333333382- 96.77930158730148- 94.75600000000023- 96.12349206349207- 92.87098412698425- 95.76336507936524- 96.28653968253977- 93.08234920634965- 92.99892063492094- 97.18634920634908- 97.01987301587285- 95.51885714285734- 93.64425396825449- 97.13028571428558- 97.22977777777767- 93.00463492063517- 96.72857142857133- 92.8272380952383- 97.05657142857129- 97.56679365079351- 97.0756190476189- 92.28488888888904- 95.80984126984143- 94.9751746031748- 94.12704761904808- 92.57352380952399- 97.19625396825384- 96.87384126984111- 96.14749206349211- 96.84069841269829- 92.52844444444457- 97.16806349206337- 96.251873015873- 96.0554285714286- 96.08203174603192- 92.87523809523837- 93.31606349206392- 92.68552380952401- 97.07752380952367- 95.30088888888912- 96.86457142857128- 96.68184126984119- 93.00139682539705- 96.46558730158725- 94.90685714285742- 96.37657142857144- 96.31980952380954- 93.13809523809559- 92.56819047619065- 97.40869841269829- 97.04222222222208- 93.54533333333379- 92.4752380952382- 93.67295238095289- 95.50012698412714- 95.84044444444463- 93.44450793650839- 97.28723809523795- 92.85707936507966- 96.81987301587287- 94.75935000000024- 96.44605000000013- 96.4294500000001- 96.7776500000001- 94.92225000000037- 97.03905000000005- 97.4409499999999- 97.7054499999999- 96.5625000000002- 97.56344999999989- 97.16480000000004- 94.7747500000003- 97.46024999999993- 97.67964999999988- 96.38365000000016- 97.4988499999999- 97.29834999999999- 96.96795000000006- 97.1731000000001- 94.68840000000034- 96.37350000000023- 97.8365999999999- 96.70665000000007- 94.71015000000023- 96.7746500000001- 97.18225000000005- 97.20190000000002- 96.38945000000017- 97.60974999999989- 97.07035000000003- 94.61915000000026- 94.82115000000036- 97.47319999999992- 96.20765000000019- 96.5704500000002- 96.7961000000001- 96.37435000000018- 97.07605000000004- 94.30675000000022- 97.39674999999991],[]
