Orchestration Policy,Orchestration Critera,Edge Devices Count,Tasks Execution Delay (s),Average Execution Delay (s),Tasks Waiting Time (s),Average Wainting Time (s),Generated Tasks,Tasks Successfully Executed,Task Not Executed (No resources available* as a result: long waiting time so the simulation eneded without the execution), Tasks Failed(Delay),Tasks Failed(Device dead),Tasks Failed(Mobility),Tasks not generated because devices were dead,Total tasks Executed(Cloud),Tasks Successfully Executed(Cloud),Total Tasks Executed(Fog),Tasks Successfully Executed(Fog),Total Tasks Executed(Edge),Tasks Successfully Executed(Edge),Network Usage (s),Wan Usage (s),Lan Usage (s),Average Bandwidth per Task (Mbps),VM Migration attempts,Average VM CPU usage (%),Average VM CPU Usage(Cloud) (%),Average VM CPU Usage(Fog) (%),Average VM CPU Usage(Edge) (%),Energy Consumption (Wh),Average Energy Consumption (Wh/Data center),Cloud Energy Consumption (Wh),Average Cloud Energy Consumption (Wh/Data center),Fog Energy Consumption (Wh),Average Fog Energy Consumption (Wh/Data center),Edge Energy Consumption (Wh),Average Edge Energy Consumption (Wh/Device),Dead Devices Count,Average remaining power (Wh),Average remaining power (%), First Edge Device death Time (s),List of remaining power (%) (only devices with batteries/ 0= dead),List of devices death time(s)
ALL,ROUND_ROBIN,100,39126.8906,3.2606,10018.1406,0.8348,12000,11792,0,102,0,106,0,468,468,3621,3615,7911,7709,5100.666666666146,1059.3866666666606,5100.666666666146,279.2262764550221,0,10.7554,1.2301,3.8185,14.4709,90.84,0.8334,1.8255,0.0001,24.2289,0.0001,64.7857,0.0002,0,16.3871,93.8499,-1.0,[90.05174603174567- 93.16336507936545- 94.61149206349255- 92.29593650793674- 93.24907936507975- 95.05796825396861- 93.15073015873055- 93.03168253968283- 91.70190476190469- 92.51771428571433- 89.412571428571- 94.76336507936553- 90.70133333333312- 92.52006349206363- 94.88933333333362- 96.00298412698432- 89.90622222222186- 92.92730158730178- 94.10571428571468- 92.48171428571435- 93.05352380952417- 95.52311111111145- 92.62190476190491- 94.22412698412744- 96.42400000000008- 95.64907936507947- 91.18507936507922- 95.34146031746073- 96.02901587301598- 96.77796825396821- 96.06620000000024- 93.29734999999997- 92.39739999999975- 92.06254999999967- 96.1805000000003- 94.46235000000017- 92.26389999999978- 92.05664999999968- 95.9057500000002- 96.87280000000001- 91.79279999999974- 96.78295000000006- 95.53580000000026- 92.36294999999981- 96.64285000000028- 95.26930000000041- 95.35920000000036- 92.9835499999999- 94.8673000000002- 95.96075000000032],[]
ALL,ROUND_ROBIN,200,101435.1406,4.2265,11669.7871,0.4862,24000,23639,0,119,0,242,0,556,556,4375,4367,19069,18716,13076.925333333886,1556.693333333333,13076.925333333886,267.6914338323821,0,16.6512,1.5799,5.0017,19.7446,206.5285,0.9882,2.3301,0.0001,31.3434,0.0002,172.855,0.0002,0,16.0708,91.9345,-1.0,[90.8948571428568- 90.17301587301559- 88.38266666666607- 90.93504761904745- 88.43041269841216- 92.45847619047646- 90.3107301587297- 92.44038095238109- 89.20425396825344- 87.98584126984058- 94.43879365079397- 89.48057142857098- 87.44171428571353- 93.44914285714336- 92.39701587301595- 94.49111111111144- 87.60857142857076- 87.14736507936428- 91.89149206349205- 91.7057142857142- 91.45339682539647- 87.6951746031739- 90.35447619047588- 93.13726984127021- 87.8522539682533- 91.3874920634919- 94.31231746031779- 87.87561904761837- 91.88069841269844- 91.8064126984126- 90.20933333333292- 91.2121269841268- 88.42647619047555- 93.01453968254009- 91.3713650793649- 94.4486349206353- 93.00876190476215- 95.34622222222256- 91.4172063492063- 93.619301587302- 88.40793650793591- 94.15295238095284- 93.31282539682573- 90.97377777777758- 93.99758730158773- 93.39917460317493- 89.89746031745987- 90.23015873015824- 87.26165079365009- 87.1633650793642- 91.5805079365079- 87.87180952380886- 87.55777777777696- 88.03853968253902- 91.6670476190475- 90.08387301587264- 90.12019047619003- 90.47314285714258- 90.46266666666638- 91.8822222222222- 91.64339999999956- 93.44139999999997- 90.75949999999952- 94.02024999999999- 94.41095000000016- 93.2755- 93.61240000000002- 95.10775000000045- 91.54639999999952- 94.46030000000016- 94.4546500000001- 94.24120000000019- 93.56744999999992- 93.14749999999981- 94.33295000000018- 93.49050000000014- 93.909- 94.4234500000002- 94.60980000000032- 93.62814999999993- 93.32119999999996- 95.24405000000037- 94.47450000000023- 93.61314999999988- 94.65825000000034- 94.20530000000005- 93.55129999999994- 93.28484999999979- 95.07840000000037- 92.43869999999978- 91.49009999999973- 90.93049999999967- 93.65905000000001- 93.61235- 91.20534999999956- 95.60090000000034- 94.47340000000015- 93.86340000000004- 92.49689999999978- 94.53765000000011],[]
