Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average wainting time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Fog),Tasks successfully executed (Fog),Total tasks executed (Edge),Tasks successfully executed (Edge),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Fog) (%),Average VM CPU usage (Edge) (%),Energy consumption (Wh),Average energy consumption (Wh/Data center),Cloud energy consumption (Wh),Average Cloud energy consumption (Wh/Data center),Fog energy consumption (Wh),Average Fog energy consumption (Wh/Data center),Edge energy consumption (Wh),Average Edge energy consumption (Wh/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
CLOUD_ONLY,TRADE_OFF,100,697.2075,0.6338,236.685,0.2152,1100,1063,37,37,0,0,0,1100,1063,0,0,0,0,2200.0,1100.0,2200.0,1030.7000000000105,0.0,0.0,149.7329496261313,0.079,5.7639,0,0,1.82,0.0177,0.7923,0.7923,0.201,0.1005,0.8268,0.0083,0,17.4421,99.954,-1.0,[99.92610934744268- 99.95628853615521- 99.95628853615521- 99.95511675485008- 99.95511675485008- 99.95511675485008- 99.95628853615521- 99.95511675485008- 99.95511675485008- 99.92610934744268- 99.95511675485008- 99.95628853615521- 99.95511675485008- 99.95511675485008- 99.95628853615521- 99.92610934744268- 99.95511675485008- 99.95511675485008- 99.95511675485008- 99.95511675485008- 99.95511675485008- 99.92610934744268- 99.95628853615521- 99.95628853615521- 99.95511675485008- 99.92610934744268- 99.95628853615521- 99.95511675485008- 99.95511675485008- 99.95511675485008- 99.96465444444445- 99.96465444444445- 99.96557722222222- 99.96465444444445- 99.96465444444445- 99.96465444444445- 99.96557722222222- 99.94181111111111- 99.96557722222222- 99.96557722222222- 99.96465444444445- 99.96465444444445- 99.96465444444445- 99.94181111111111- 99.94181111111111- 99.96465444444445- 99.94181111111111- 99.94181111111111- 99.96465444444445- 99.96557722222222],[]
CLOUD_ONLY,TRADE_OFF,200,1258.395,0.5725,665.385,0.3027,2200,2101,99,99,0,0,0,2200,2101,0,0,0,0,4399.0,2201.0,4399.0,1857.699999999896,0.0,0.0,92.31135562687913,0.0806,11.5277,0,0,3.293,0.0162,1.4691,1.4691,0.201,0.1005,1.6229,0.0081,0,17.4422,99.9547,-1.0,[99.92610934744268- 99.95511675485008- 99.95628853615521- 99.95511675485008- 99.92610934744268- 99.95628853615521- 99.95511675485008- 99.92610934744268- 99.95511675485008- 99.95511675485008- 99.95511675485008- 99.92610934744268- 99.95511675485008- 99.95511675485008- 99.95511675485008- 99.92610934744268- 99.92610934744268- 99.95628853615521- 99.95511675485008- 99.95511675485008- 99.95511675485008- 99.95628853615521- 99.95628853615521- 99.95628853615521- 99.95511675485008- 99.95511675485008- 99.95511675485008- 99.95511675485008- 99.95511675485008- 99.95511675485008- 99.92610934744268- 99.95628853615521- 99.92610934744268- 99.95511675485008- 99.95511675485008- 99.95628853615521- 99.95511675485008- 99.95628853615521- 99.95628853615521- 99.92610934744268- 99.95511675485008- 99.95511675485008- 99.95628853615521- 99.95511675485008- 99.92610934744268- 99.95628853615521- 99.95511675485008- 99.95628853615521- 99.95628853615521- 99.95511675485008- 99.95628853615521- 99.95511675485008- 99.95511675485008- 99.95511675485008- 99.95511675485008- 99.95628853615521- 99.95511675485008- 99.95628853615521- 99.95628853615521- 99.95511675485008- 99.96465444444445- 99.94181111111111- 99.96465444444445- 99.96557722222222- 99.96557722222222- 99.96557722222222- 99.96465444444445- 99.96465444444445- 99.96465444444445- 99.96465444444445- 99.96557722222222- 99.96465444444445- 99.96465444444445- 99.94181111111111- 99.96465444444445- 99.96557722222222- 99.96465444444445- 99.94181111111111- 99.94181111111111- 99.96465444444445- 99.96465444444445- 99.96465444444445- 99.96465444444445- 99.96465444444445- 99.96557722222222- 99.96465444444445- 99.96465444444445- 99.96465444444445- 99.96465444444445- 99.96465444444445- 99.96465444444445- 99.96465444444445- 99.96465444444445- 99.96557722222222- 99.94181111111111- 99.96465444444445- 99.94181111111111- 99.94181111111111- 99.96557722222222- 99.96465444444445],[]
