Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,FUZZY_LOGIC,100,2962.5685,0.4891,193.4617,0.0319,6110,6055,0,2,0,53,0,710,710,2454,2452,2946,2893,8861.0,2206.0,8861.0,1952.42999999988,0.0,0.0,61.83426336155846,5.8532,1.9255,18.0625,5.7152,0.6463,0.0063,0.0502,0.0502,0.1247,0.1247,0.4713,0.0047,0,33.7244,99.9701,-1.0,[99.97448557037036- 99.98015638518518- 99.93652112592594- 99.97956017777778- 99.93862583703705- 99.93959105185186- 99.9772098962963- 99.93219484444444- 99.93737214814814- 99.93498394074074- 99.99221724444443- 99.8794224- 99.88426435555556- 99.9405691851852- 99.92795034074074- 99.92811632592593- 99.92896888888889- 99.90965552592593- 99.98806678518518- 99.9812792888889- 99.99731555555556- 99.93511875555555- 99.91819922962964- 99.99053368888889- 99.94027134814814- 99.98251851851852- 99.98104527407408- 99.93852734814816- 99.98125558518518- 99.94952509629628- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
ALL,FUZZY_LOGIC,200,6638.2791,0.6,448.5307,0.0405,11240,11028,0,36,0,176,0,1340,1340,3019,3008,6881,6680,31854.0,17342.0,31854.0,5200.710000000912,0.0,0.0,129.00909505078937,6.8156,4.0157,23.0815,6.7034,1.7097,0.0085,0.1272,0.1272,0.2087,0.2087,1.3737,0.0069,0,33.7223,99.9587,-1.0,[99.95941991111111- 99.95995223703704- 99.9740933925926- 99.92511555555555- 99.85837315555555- 99.80214874074073- 99.97225860740741- 99.98262506666666- 99.91947122962962- 99.92844106666666- 99.90634251851851- 99.87168746666666- 99.96514945185186- 99.98531247407408- 99.89191922962962- 99.87501362962962- 99.94021066666667- 99.90409208888889- 99.89524385185184- 99.88126287407408- 99.8782506074074- 99.99367863703704- 99.91135822222222- 99.90577505185185- 99.9319997037037- 99.81167905185185- 99.92877428148148- 99.86995223703703- 99.85071466666668- 99.95131674074074- 99.93724201481483- 99.9368981925926- 99.97747917037037- 99.95751010370371- 99.88870257777778- 99.95452337777778- 99.9412256- 99.95656385185185- 99.90924776296298- 99.9772098962963- 99.90045635555555- 99.97363194074074- 99.91531057777779- 99.95754814814815- 99.97650263703703- 99.99606447407407- 99.97895241481483- 99.93154364444445- 99.97980604444444- 99.90663176296296- 99.96719863703703- 99.9648594962963- 99.99642666666666- 99.9312941037037- 99.96860444444445- 99.91953279999998- 99.99224094814815- 99.92034524444446- 99.90657262222221- 99.91887152592594- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
ALL,FUZZY_LOGIC,300,8928.6426,0.5579,967.028,0.0604,16340,15966,0,37,0,337,0,2540,2540,3919,3897,9881,9529,69645.0,48145.0,69645.0,6869.390000002641,0.0,0.0,121.46305482610468,5.7844,5.8933,27.3596,5.664,2.225,0.0074,0.1584,0.1584,0.2402,0.2402,1.8264,0.0061,0,33.7222,99.9586,-1.0,[99.89465582222222- 99.90257748148149- 99.8638042074074- 99.92185902222222- 99.91428094814815- 99.92918945185185- 99.81093321481482- 99.9375668148148- 99.96783822222224- 99.90203383703704- 99.91091342222222- 99.9440322962963- 99.92022032592592- 99.8571421037037- 99.97708699259259- 99.88064515555556- 99.94702595555557- 99.97855496296296- 99.90815964444445- 99.93040325925926- 99.78962737777778- 99.96549137777778- 99.93381973333334- 99.98692183703703- 99.91260977777777- 99.86662382222224- 99.96657694814814- 99.97166548148148- 99.94538394074074- 99.92241937777777- 99.9844248888889- 99.76571247407409- 99.9835880888889- 99.97325724444444- 99.93123099259259- 99.70889185185185- 99.95353534814815- 99.8138100148148- 99.965448- 99.90668592592593- 99.86266050370371- 99.86581546666667- 99.95016094814815- 99.97932154074074- 99.98251851851852- 99.95718044444443- 99.97240456296296- 99.89647425185184- 99.99452728888889- 99.98966299259259- 99.88293445925926- 99.87766488888889- 99.98476337777778- 99.97107454814815- 99.87371057777779- 99.93554844444444- 99.93413943703705- 99.94321949629628- 99.97352088888888- 99.89840071111111- 99.91243437037036- 99.9966840888889- 99.96492551111112- 99.88027893333333- 99.93148906666667- 99.82757564444444- 99.96488124444444- 99.98925919999999- 99.97301872592594- 99.94533048888889- 99.97837333333332- 99.97471958518518- 99.9424485925926- 99.99731555555556- 99.85690714074074- 99.98651851851851- 99.96949475555556- 99.9924394074074- 99.94149108148149- 99.99491288888889- 99.94427875555556- 99.92325007407408- 99.96521837037038- 99.96032592592593- 99.93747401481481- 99.91734933333333- 99.98188705185186- 99.90088432592593- 99.99280817777777- 99.97885291851853- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
