Orchestration Policy,Orchestration Critera,Edge Devices Count,Tasks Execution Delay (s),Average Execution Delay (s),Tasks Waiting Time (s),Average Wainting Time (s),Generated Tasks,Tasks Successfully Executed,Task Not Executed (No resources available* as a result: long waiting time so the simulation eneded without the execution), Tasks Failed(Delay),Tasks Failed(Device dead),Tasks Failed(Mobility),Tasks not generated because devices were dead,Total tasks Executed(Cloud),Tasks Successfully Executed(Cloud),Total Tasks Executed(Fog),Tasks Successfully Executed(Fog),Total Tasks Executed(Edge),Tasks Successfully Executed(Edge),Network Usage (s),Wan Usage (s),Lan Usage (s),Average Bandwidth per Task (Mbps),VM Migration attempts,Average VM CPU usage (%),Average VM CPU Usage(Cloud) (%),Average VM CPU Usage(Fog) (%),Average VM CPU Usage(Edge) (%),Energy Consumption (Wh),Average Energy Consumption (Wh/Data center),Cloud Energy Consumption (Wh),Average Cloud Energy Consumption (Wh/Data center),Fog Energy Consumption (Wh),Average Fog Energy Consumption (Wh/Data center),Edge Energy Consumption (Wh),Average Edge Energy Consumption (Wh/Device),Dead Devices Count,Average remaining power (Wh),Average remaining power (%), First Edge Device death Time (s),List of remaining power (%) (only devices with batteries/ 0= dead),List of devices death time(s)
EDGE_ONLY,ROUND_ROBIN,100,3729.4939,4.0102,2947.2388,3.1691,1000,870,70,60,0,0,0,0,0,0,0,930,870,17.915999999999716,0.0,17.915999999999716,75.97678053136981,0,11.2964,0,0,12.3131,5.634,0.0517,0.0798,0.0798,0.6919,0.0865,4.8623,0.0486,0,17.3758,99.565,-1.0,[99.58012698412698- 99.82536507936508- 99.89888888888889- 99.46698412698413- 99.51422222222223- 99.90498412698413- 99.58022222222222- 98.96660317460316- 98.9031746031746- 99.40698412698411- 99.7844126984127- 99.15584126984128- 99.44393650793651- 99.88698412698413- 99.38069841269842- 99.5174603174603- 99.00069841269841- 98.91022222222222- 99.80069841269842- 99.73288888888888- 99.40650793650794- 99.83231746031746- 99.8999365079365- 99.75098412698412- 99.68879365079364- 99.58584126984128- 99.41193650793652- 99.35117460317461- 98.91155555555555- 99.43231746031748- 99.572825- 99.6242- 99.8468- 99.75447499999999- 99.914825- 99.27747500000001- 99.90987499999999- 99.14285- 98.8664- 99.93379999999999- 99.53435- 99.93169999999999- 99.712625- 99.781475- 99.75597499999999- 99.92825- 99.86795000000001- 99.448025- 99.67655- 99.83824999999999],[]
EDGE_ONLY,ROUND_ROBIN,300,14509.0752,4.8525,9949.6016,3.3276,3000,2766,10,224,0,0,0,0,0,0,0,2990,2766,166.75200000000254,0.0,166.75200000000254,37.71588946459355,0,14.8601,0,0,15.3059,19.4916,0.0631,0.0847,0.0847,0.8888,0.1111,18.518,0.0617,0,17.3506,99.4174,-1.0,[99.01250793650793- 99.30946031746032- 99.49736507936508- 98.85717460317461- 99.60698412698413- 99.43022222222223- 99.56393650793652- 99.71250793650793- 99.45936507936509- 99.12955555555556- 99.07631746031745- 99.62936507936507- 99.42374603174603- 99.61203174603173- 99.65726984126984- 99.09117460317461- 99.44260317460318- 99.38012698412699- 99.08336507936508- 99.59126984126983- 99.63155555555555- 99.17898412698412- 99.3051746031746- 99.16603174603175- 99.26479365079366- 99.72422222222222- 98.33860317460316- 99.09631746031747- 99.0464126984127- 99.55403174603174- 99.48184126984127- 99.55355555555555- 99.3856507936508- 99.14888888888889- 99.68822222222221- 99.5786984126984- 99.43003174603176- 99.59069841269842- 99.38793650793652- 99.28393650793652- 99.62174603174603- 99.05698412698412- 99.20374603174604- 99.2308888888889- 99.65631746031745- 99.11184126984128- 98.79879365079364- 98.98793650793651- 99.6999365079365- 98.76746031746032- 99.15450793650794- 99.44679365079365- 98.57460317460317- 99.84060317460317- 99.53736507936509- 99.17507936507936- 99.56412698412699- 99.66526984126983- 99.25022222222222- 99.47803174603175- 99.35126984126984- 99.61479365079363- 99.30184126984128- 99.64488888888889- 99.71107936507936- 98.97974603174603- 99.49679365079365- 99.43098412698414- 99.33374603174603- 99.4591746031746- 98.98984126984128- 98.92307936507936- 98.7446984126984- 99.5016507936508- 99.54355555555556- 99.40117460317461- 99.20526984126985- 99.58107936507936- 99.44850793650794- 98.98260317460318- 99.75279365079365- 99.33146031746031- 98.9559365079365- 99.40774603174603- 99.56479365079366- 99.61231746031744- 98.8499365079365- 99.42146031746032- 99.09784126984127- 98.78746031746032- 99.498275- 99.6305- 99.258275- 99.531125- 99.282725- 99.50855- 99.398- 99.37129999999999- 99.793625- 99.6557- 99.672275- 99.778775- 99.49355- 99.294275- 99.359825- 99.6944- 99.60425- 99.44314999999999- 99.58565- 99.63117500000001- 99.80255- 99.7619- 99.57972500000001- 99.5189- 99.67684999999999- 99.681575- 99.50885- 99.50210000000001- 99.71824999999998- 99.49265- 99.44359999999999- 99.453575- 99.8828- 99.71539999999999- 99.45725000000002- 99.46190000000001- 99.28729999999999- 99.6344- 99.67385- 99.68645000000001- 99.450125- 99.2126- 99.51230000000001- 99.58310000000002- 99.72229999999999- 99.59832500000002- 99.61459999999998- 99.55145- 99.158675- 99.7658- 99.74975- 99.56315- 99.640025- 99.528425- 99.654425- 99.88205- 99.14014999999999- 99.297425- 99.618125- 99.2939],[]
EDGE_ONLY,ROUND_ROBIN,500,21416.3926,4.2833,22606.2754,4.5213,5000,4510,0,490,0,0,0,0,0,0,0,5000,4510,473.13400000001326,0.0,473.13400000001326,24.56555648082715,0,14.0624,0,0,14.3156,28.8245,0.0566,0.0823,0.0823,1.0223,0.1278,27.7199,0.0554,0,17.3616,99.482,-1.0,[99.59047619047618- 98.98809523809524- 99.83114285714286- 99.80828571428572- 99.778- 99.36257142857144- 99.60066666666665- 99.46533333333335- 99.55714285714286- 99.35780952380954- 99.72866666666667- 99.25561904761905- 99.54990476190477- 99.2472380952381- 99.18161904761905- 98.79342857142856- 99.44133333333333- 99.51485714285715- 99.22980952380952- 99.79085714285713- 99.24619047619048- 99.2987619047619- 99.42285714285715- 98.93790476190476- 99.74114285714286- 98.83961904761904- 99.83866666666667- 99.50704761904761- 99.5127619047619- 99.25942857142859- 99.09390476190477- 98.88409523809523- 99.44171428571428- 99.33466666666666- 99.5412380952381- 99.58657142857142- 99.51885714285714- 99.536- 99.45390476190477- 99.41704761904761- 99.60076190476191- 99.106- 99.20257142857143- 99.77961904761905- 99.55895238095238- 99.23009523809525- 99.59247619047619- 99.142- 99.03895238095238- 99.61647619047619- 99.77257142857142- 99.44123809523809- 99.43904761904761- 99.64571428571428- 99.3817142857143- 99.69695238095238- 99.40666666666668- 99.80190476190475- 99.49799999999999- 99.4792380952381- 99.46895238095239- 99.08961904761904- 99.33514285714287- 99.36666666666667- 99.61657142857142- 99.4064761904762- 99.54161904761905- 99.17695238095239- 99.49028571428572- 99.64933333333333- 99.44304761904762- 99.23580952380952- 99.31828571428572- 99.23428571428573- 99.08399999999999- 99.69714285714286- 99.17971428571428- 99.46666666666667- 98.79- 99.50714285714285- 99.48971428571429- 99.3432380952381- 99.07485714285716- 99.2044761904762- 99.24438095238096- 99.12866666666666- 99.06638095238095- 98.99361904761905- 99.31066666666666- 99.71819047619046- 99.36209523809524- 99.56590476190476- 99.33428571428573- 99.50466666666667- 99.09276190476189- 99.67- 99.77476190476192- 99.32419047619048- 99.4732380952381- 99.55066666666667- 99.41628571428572- 99.31990476190477- 99.24304761904763- 99.63695238095238- 99.47495238095237- 99.30942857142857- 99.39923809523809- 99.44342857142857- 99.61114285714285- 99.36390476190476- 99.29742857142858- 99.60742857142857- 99.35600000000001- 98.99057142857141- 99.73742857142858- 99.33000000000001- 99.34552380952381- 99.25104761904763- 99.24314285714286- 99.6970476190476- 99.5457142857143- 99.39333333333335- 99.5447619047619- 99.23361904761906- 99.64228571428572- 99.47571428571429- 99.38066666666667- 99.15971428571429- 99.53961904761906- 99.2637142857143- 99.29895238095237- 99.3647619047619- 99.65504761904762- 99.82247619047618- 99.28038095238097- 99.42714285714287- 99.32657142857144- 99.486- 99.41180952380952- 99.67057142857144- 99.13438095238095- 99.08685714285714- 99.28380952380954- 99.49399999999999- 99.60695238095236- 99.03323809523809- 99.41095238095238- 99.48019047619047- 99.45638095238094- 99.10180952380952- 99.73345- 99.586675- 99.66069999999999- 99.46705- 99.81429999999999- 99.2944- 99.63497500000001- 99.68424999999999- 99.66189999999999- 99.84415- 99.43967500000001- 99.617875- 99.75730000000001- 99.37375- 99.6691- 99.4279- 99.471025- 99.65920000000001- 99.5668- 99.12767499999998- 99.47335000000001- 99.74657499999999- 99.45985- 99.69707500000001- 99.62365- 99.069775- 99.593425- 99.6376- 99.63505- 99.5272- 99.60175- 99.42025000000001- 99.41612500000001- 99.83942499999999- 99.611575- 99.34825- 99.83267500000001- 99.83995- 99.31465- 99.59515- 99.51895- 99.26814999999999- 99.62275- 99.42325000000001- 99.6136- 99.8101- 99.75024999999998- 99.826675- 99.4333- 99.79345- 99.56687500000001- 99.7624- 99.590125- 99.550225- 99.50559999999999- 99.249625- 99.46382500000001- 99.73659999999998- 99.44650000000001- 99.28772500000001- 99.66895- 99.83267500000001- 99.5557- 99.49645000000001- 99.670975- 99.83012499999998- 99.6451- 99.736975- 99.849775- 99.5257- 99.631825- 99.90520000000001- 99.61330000000001- 99.691675- 99.8296- 99.703- 99.67817500000001- 99.832975- 99.55945- 99.68222499999999- 99.8206- 99.585925- 99.2158- 99.430825- 99.51085- 99.67645000000002- 99.66475- 99.520975- 99.79495- 99.55982500000002- 99.642625- 99.69159999999998- 99.88585- 99.6523- 99.34915- 99.8461- 99.46675000000002- 99.746725- 99.7378- 99.44342500000002],[]
